FullDateTime,kW_ARCHTECTURE_MAIN_MTR
 9/1/2018 1:00:00 PM,39
 9/1/2018 2:00:00 PM,40
 9/1/2018 3:00:00 PM,35
 9/1/2018 4:00:00 PM,35
 9/1/2018 5:00:00 PM,37
 9/1/2018 6:00:00 PM,34
 9/1/2018 7:00:00 PM,43
 9/1/2018 8:00:00 PM,49
 9/1/2018 9:00:00 PM,47
 9/1/2018 10:00:00 PM,48
 9/1/2018 11:00:00 PM,45
 9/2/2018 12:00:00 AM,42
 9/2/2018 1:00:00 AM,45
 9/2/2018 2:00:00 AM,41
 9/2/2018 3:00:00 AM,46
 9/2/2018 4:00:00 AM,36
 9/2/2018 5:00:00 AM,39
 9/2/2018 6:00:00 AM,39
 9/2/2018 7:00:00 AM,39
 9/2/2018 8:00:00 AM,29
 9/2/2018 9:00:00 AM,32
 9/2/2018 10:00:00 AM,30
 9/2/2018 11:00:00 AM,27
 9/2/2018 12:00:00 PM,35
 9/2/2018 1:00:00 PM,30
 9/2/2018 2:00:00 PM,39
 9/2/2018 3:00:00 PM,37
 9/2/2018 4:00:00 PM,41
 9/2/2018 5:00:00 PM,39
 9/2/2018 6:00:00 PM,35
 9/2/2018 7:00:00 PM,49
 9/2/2018 8:00:00 PM,38
 9/2/2018 9:00:00 PM,52
 9/2/2018 10:00:00 PM,45
 9/2/2018 11:00:00 PM,43
 9/3/2018 12:00:00 AM,45
 9/3/2018 1:00:00 AM,38
 9/3/2018 2:00:00 AM,40
 9/3/2018 3:00:00 AM,40
 9/3/2018 4:00:00 AM,39
 9/3/2018 5:00:00 AM,93
 9/3/2018 6:00:00 AM,58
 9/3/2018 7:00:00 AM,68
 9/3/2018 8:00:00 AM,58
 9/3/2018 9:00:00 AM,65
 9/3/2018 10:00:00 AM,60
 9/3/2018 11:00:00 AM,64
 9/3/2018 12:00:00 PM,89
 9/3/2018 1:00:00 PM,63
 9/3/2018 2:00:00 PM,62
 9/3/2018 3:00:00 PM,60
 9/3/2018 4:00:00 PM,65
 9/3/2018 5:00:00 PM,66
 9/3/2018 6:00:00 PM,85
 9/3/2018 7:00:00 PM,61
 9/3/2018 8:00:00 PM,57
 9/3/2018 9:00:00 PM,53
 9/3/2018 10:00:00 PM,56
 9/3/2018 11:00:00 PM,49
 9/4/2018 12:00:00 AM,43
 9/4/2018 1:00:00 AM,51
 9/4/2018 2:00:00 AM,47
 9/4/2018 3:00:00 AM,45
 9/4/2018 4:00:00 AM,41
 9/4/2018 5:00:00 AM,36
 9/4/2018 6:00:00 AM,64
 9/4/2018 7:00:00 AM,73
 9/4/2018 8:00:00 AM,69
 9/4/2018 9:00:00 AM,82
 9/4/2018 10:00:00 AM,85
 9/4/2018 11:00:00 AM,87
 9/4/2018 12:00:00 PM,88
 9/4/2018 1:00:00 PM,90
 9/4/2018 2:00:00 PM,94
 9/4/2018 3:00:00 PM,87
 9/4/2018 4:00:00 PM,91
 9/4/2018 5:00:00 PM,84
 9/4/2018 6:00:00 PM,107
 9/4/2018 7:00:00 PM,71
 9/4/2018 8:00:00 PM,76
 9/4/2018 9:00:00 PM,66
 9/4/2018 10:00:00 PM,54
