,Scope 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scope 2,,,,,,,,,,,,,,Scope 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinks,,,,,,,,
,Agriculture Sources,,,,,,,,,,Direct Transportation Sources,,,,,,,,,,On-Campus Stationary Sources,,,,,,,,,,,,,,,,Refrigerants & Chemicals,,,,,,"Electricity, Steam, and Chilled Water",,,,Renewable Energy,,,,,,,,,,Commuting,,,,,,,,,,,,,,,,,,,,,Directly Financed Outsourced Travel,,,,,,,,,,,Paper,,,,,,,,,,,,,Solid Waste,,,,,,Student Travel to/from Home,,,,,Study Abroad,Wastewater,,,,,Compost,,,Non-Additional Sequestration,,Offsets,,,
,Animal Husbandry,,,,,,,,Fertilizer,,University Fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchased,,,,,Sold,,,,,Faculty Commuting,,,,,,,Staff Commuting,,,,,,,Student Commuting,,,,,,,Air,,Ground,,,,,,,,,,,,,,,,,,,,,,Incinerated Waste,,Landfilled Waste,,,,,,,,,,Central Treatment System,,,,,,,,,,,,,
Fiscal Year,Beef Cows,Dairy Cows,Goats,Horses,Other,Poultry,Sheep,Swine,Organic,Synthetic,B100,B20 Fleet,B5 Fleet,Diesel Fleet,E85 Fleet,Gasoline Fleet,Hydrogen,Natural Gas Fleet,Other (Gaseous/solid fuels),Other (Liquid fuels),Coal (Steam Coal),Distillate BioHeat,Distillate Oil (#1-4),Ethanol,Grass Pellets,Incinerated Waste,LPG (Propane),Natural Gas,Other,Residual BioHeat,Residual Oil (#5-6),Solar - Electric,Solar - Thermal,Wind,Wood Chips,Wood Pellets,HCFC-22,HCFE-235da2,HFC-134a,HG-10,Other,R-404a,Chilled Water,Electricity,Other,Steam,Biogas,Hydro,Other,Solar,Wind,Biogas,Hydro,Other,Solar,Wind,Automobile,Bike,Carpool,Commuter Rail,Light Rail,Public Bus,Walk,Automobile,Bike,Carpool,Commuter Rail,Light Rail,Public Bus,Walk,Automobile,Bike,Carpool,Commuter Rail,Light Rail,Public Bus,Walk,Faculty / Staff,Students,Alternative Fuel Bus,Charter Bus - CNG,Charter Bus - Diesel,Charter Bus - Other,Personal Mileage Reimbursement,Public Bus,Taxi / Ferry / Rental Car,Train,Other,Coated Freesheet,Coated Groundwood,Corrugated Bleached,Corrugated Semibleached,Corrugated Unbleached,Paperboard Coated Recycled,Paperboard CUK,Paperboard SBS,Paperboard Uncoated Bleached Kraft,Paperboard Uncoated Unbleached Kraft,Supercalendered,Uncoated Freesheet,Uncoated Groundwood,Mass Burn,Refuse Derived Fuel (RDF),CH4 Recovery and Electric Generation,CH4 Recovery and Flaring,No CH4 Recovery,Other,Air Travel,Automobile,Carpool,Public Bus,Train,Air Travel,Aerobic,Anaerobic,Anaerobic Digestion,Other,Septic System,Agricultural Waste,Dining Waste,Other,Carbon,Nitrogen,Carbon Purchased,Carbon Sold/Transferred,Nitrogen Purchased,Nitrogen Sold/Transferred
kg N2O / ,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / head,kg N2O / pound,kg N2O / pound,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / MMBtu,kg N2O / MMBtu,kg N2O / MMBtu,kg N2O / US gallon,kg N2O / short ton,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / short ton,kg N2O / short ton,kg N2O / US gallon,kg N2O / MMBtu,kg N2O / MMBtu,kg N2O / US gallon,kg N2O / US gallon,kg N2O / kWh,kg N2O / kWh,kg N2O / MMBtu,kg N2O / short ton,kg N2O / short ton,kg N2O / kilogram,kg N2O / kilogram,kg N2O / kilogram,kg N2O / kilogram,kg N2O / kilogram,kg N2O / kilogram,kg N2O / MMBtu,kg N2O / kWh,kg N2O / MMBtu,kg N2O / MMBtu,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / MWh,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / vehicle mile,kg N2O / vehicle mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / pound,kg N2O / short ton,kg N2O / short ton,kg N2O / short ton,kg N2O / short ton,kg N2O / short ton,kg N2O / short ton,kg N2O / passenger mile,kg N2O / vehicle mile,kg N2O / vehicle mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / passenger mile,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / US gallon,kg N2O / short ton,kg N2O / short ton,kg N2O / short ton,kg N2O / MT eCO2,kg N2O / kg N,kg N2O / MT eCO2,kg N2O / MT eCO2,kg N2O / kg N,kg N2O / kg N
1990,0.238455542,1.208993213,0.039745628,0.1,0,0.013337029,0.035217468,0.074155095,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624434,0,0.000412,0,0,0.036625871,0.0000864,0.0000878,0.000257,0.0737656,2.067526882,0.0000546,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000298,,0.0000149,0.00000451,0.0000043,0.0000069,,0.0000298,,0.0000149,0.00000451,0.0000043,0.0000069,,0.0000298,,0.0000149,0.00000451,0.0000043,0.0000069,,0.0000106,0.0000106,0,0.001966,0.0018504,0,0.0000298,0.0000069,0.0000298,0.00000393,,,,,,,,,,,,,,,,,,,,,0.0000106,0.0000298,0.0000149,0.0000069,0.00000393,0.0000106,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1991,0.238455542,1.208993213,0.039745628,0.1,0,0.013103908,0.035217468,0.074155095,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624432,0,0.000412,0,0,0.036589462,0.0000864,0.0000878,0.000257,0.0737656,2.067526882,0.0000545,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000287,,0.0000143,0.00000443,0.00000455,0.00000698,,0.0000287,,0.0000143,0.00000443,0.00000455,0.00000698,,0.0000287,,0.0000143,0.00000443,0.00000455,0.00000698,,0.0000101,0.0000101,0,0.001966,0.0018504,0,0.0000287,0.00000698,0.0000287,0.00000379,,,,,,,,,,,,,,,,,,,,,0.0000101,0.0000287,0.0000143,0.00000698,0.00000379,0.0000101,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1992,0.238455542,1.208993213,0.039745628,0.1,0,0.012909107,0.035217468,0.074155095,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624502,0,0.000412,0,0,0.036575215,0.0000864,0.0000878,0.000257,0.0737656,2.067526882,0.0000546,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000289,,0.0000145,0.00000423,0.00000464,0.00000748,,0.0000289,,0.0000145,0.00000423,0.00000464,0.00000748,,0.0000289,,0.0000145,0.00000423,0.00000464,0.00000748,,0.00000981,0.00000981,0,0.001966,0.0018504,0,0.0000289,0.00000748,0.0000289,0.00000391,,,,,,,,,,,,,,,,,,,,,0.00000981,0.0000289,0.0000145,0.00000748,0.00000391,0.00000981,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1993,0.238455542,1.208993213,0.039745628,0.1,0,0.012650651,0.035217468,0.074155095,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624528,0,0.000412,0,0,0.036399502,0.0000864,0.0000878,0.000257,0.0737656,2.067526882,0.0000543,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000296,,0.0000148,0.0000048,0.0000048,0.00000731,,0.0000296,,0.0000148,0.0000048,0.0000048,0.00000731,,0.0000296,,0.0000148,0.0000048,0.0000048,0.00000731,,0.00000991,0.00000991,0,0.001966,0.0018504,0,0.0000296,0.00000731,0.0000296,0.00000384,,,,,,,,,,,,,,,,,,,,,0.00000991,0.0000296,0.0000148,0.00000731,0.00000384,0.00000991,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1994,0.238455542,1.208993213,0.039745628,0.1,0,0.012491981,0.035217468,0.074155095,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624389,0,0.000412,0,0,0.036586296,0.0000864,0.0000877,0.000257,0.0737656,2.067526882,0.0000548,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000293,,0.0000147,0.00000432,0.00000511,0.00000771,,0.0000293,,0.0000147,0.00000432,0.00000511,0.00000771,,0.0000293,,0.0000147,0.00000432,0.00000511,0.00000771,,0.00000966,0.00000966,0,0.001966,0.0018504,0,0.0000293,0.00000771,0.0000293,0.00000406,,,,,,,,,,,,,,,,,,,,,0.00000966,0.0000293,0.0000147,0.00000771,0.00000406,0.00000966,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1995,0.239331961,1.302428256,0.042426814,0.1,0,0.012442668,0.077872956,0.076401976,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624383,0,0.000412,0,0,0.036595794,0.0000864,0.0000877,0.000257,0.0737656,2.067526882,0.0000546,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000288,,0.0000144,0.00000424,0.0000053,0.00000789,,0.0000288,,0.0000144,0.00000424,0.0000053,0.00000789,,0.0000288,,0.0000144,0.00000424,0.0000053,0.00000789,,0.00000952,0.00000952,0,0.001966,0.0018504,0,0.0000288,0.00000789,0.0000288,0.00000443,,,,,,,,,,,,,,,,,,,,,0.00000952,0.0000288,0.0000144,0.00000789,0.00000443,0.00000952,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1996,0.239331961,1.302428256,0.042426814,0.1,0,0.0123268,0.077872956,0.076401976,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624341,0,0.000412,0,0,0.036426413,0.0000864,0.0000877,0.000257,0.0737656,2.067526882,0.0000545,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000287,,0.0000143,0.00000416,0.0000054,0.00000797,,0.0000287,,0.0000143,0.00000416,0.0000054,0.00000797,,0.0000287,,0.0000143,0.00000416,0.0000054,0.00000797,,0.0000091,0.0000091,0,0.001966,0.0018504,0,0.0000287,0.00000797,0.0000287,0.00000475,,,,,,,,,,,,,,,,,,,,,0.0000091,0.0000287,0.0000143,0.00000797,0.00000475,0.0000091,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1997,0.239331961,1.302428256,0.042426814,0.1,0,0.012092652,0.077872956,0.076401976,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.00062433,0,0.000412,0,0,0.035608002,0.0000864,0.0000877,0.000257,0.0737656,2.067526882,0.0000545,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000283,,0.0000142,0.00000439,0.00000538,0.0000077,,0.0000283,,0.0000142,0.00000439,0.00000538,0.0000077,,0.0000283,,0.0000142,0.00000439,0.00000538,0.0000077,,0.00000909,0.00000909,0,0.001966,0.0018504,0,0.0000283,0.0000077,0.0000283,0.00000496,,,,,,,,,,,,,,,,,,,,,0.00000909,0.0000283,0.0000142,0.0000077,0.00000496,0.00000909,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
1998,0.239331961,1.302428256,0.042426814,0.1,0,0.011813114,0.077872956,0.076401976,0.013896745,0.014074908,0.000257,0.000257,0.000257,0.000257,0.000627,0.000624154,0,0.000412,0,0,0.03422446,0.0000864,0.0000877,0.000257,0.0737656,2.067526882,0.0000545,0.0001055,0,0.000092,0.0000948,,,,0.0737656,0.0737656,,,,,,,0.000418373,9.32E-06,,0.000418373,,,,,,,,,,,0.0000282,,0.0000141,0.00000428,0.00000512,0.00000765,,0.0000282,,0.0000141,0.00000428,0.00000512,0.00000765,,0.0000282,,0.0000141,0.00000428,0.00000512,0.00000765,,0.00000862,0.00000862,0,0.001966,0.0018504,0,0.0000282,0.00000765,0.0000282,0.00000491,,,,,,,,,,,,,,,,,,,,,0.00000862,0.0000282,0.0000141,0.00000765,0.00000491,0.00000862,0.00000163,0.00000163,0.00000163,,0.00000148,,,,,,,,,
