"Fiscal Year","Name","Vendor","Organic","Local","Category 1","Category 2","Category 3","Weight","Unit","Dollars"
2016,"Bovine","","No","No","Beef","","","9304.961694","kilogram","0"
2016,"Cheese","","No","No","Cheese","","","7196.60052","kilogram","0"
2016,"Eggs","","No","No","Eggs","","","11422.59233","kilogram","0"
2016,"Fish","","No","No","Fish","","","8518.77","kilogram","0"
2016,"Milk","","No","No","Milk","","","80999.76121","kilogram","0"
2016,"Pigmeat","","No","No","Pork","","","6855.8373","kilogram","0"
2016,"Poultry","","No","No","Chicken","","","20833.55688","kilogram","0"
2016,"Cereals","","No","No","Grains","","","25525.37992","kilogram","0"
2016,"Fruits","","No","No","Fruits","","","23494.74024","kilogram","0"
2016,"Nuts","","No","No","Nuts","","","680.08437","kilogram","0"
2016,"Oilcrops","","No","No","Oils","","","6423.104007","kilogram","0"
2016,"Pulses","","No","No","Beans","","","8308.728446","kilogram","0"
2016,"Spices","","No","No","Spices","","","1602.644292","kilogram","0"
2016,"Starchy roots","","No","No","Potatoes","","","10535.15252","kilogram","0"
2016,"Stimulants","","No","No","Coffee and tea","","","244.93968","kilogram","0"
2016,"Sugarcrops","","No","No","Sugars","","","4777.259237","kilogram","0"
2016,"Beverages","","No","No","Liquids","","","111214.6546","kilogram","0"
2016,"Vegetables","","No","No","Vegetables","","","31119.98567","kilogram","0"
2017,"1%CHOCO MILK","","No","No","Milk","","","8734.6153846154","kilogram","0"
2017,"1000 ISLAND DRESSING","","No","No","Liquids","","","1161.5384615385","kilogram","0"
2017,"2% MILK (1)","","No","No","Milk","","","6987.6923076923","kilogram","0"
2017,"2% MILK (2)","","No","No","Milk","","","145.57692307692","kilogram","0"
2017,"ACO SEASONING","","No","No","Spices","","","235.10769230769","kilogram","0"
2017,"ALMONDS (1)","","No","No","Nuts","","","279.38461538462","kilogram","0"
2017,"ALMONDS (2)","","No","No","Nuts","","","628.61538461538","kilogram","0"
2017,"AMERICAN CHEESE","","No","No","Cheese","","","698.46153846154","kilogram","0"
2017,"APPLE CIDER VINEGAR","","No","No","Liquids","","","1164.6153846154","kilogram","0"
2017,"APPLE FILLING (1)","","No","No","Fruits","","","663.53846153846","kilogram","0"
2017,"APPLE FILLING (2)","","No","No","Sugars","","","663.53846153846","kilogram","0"
2017,"APPLE JUICE","","No","No","Liquids","","","783.69230769231","kilogram","0"
2017,"APPLE SAUCE","","No","No","Fruits","","","2076.9230769231","kilogram","0"
2017,"APRICOTS","","No","No","Fruits","","","2095.3846153846","kilogram","0"
2017,"ARTICHOKE HEARTS","","No","No","Vegetables","","","2076.9230769231","kilogram","0"
2017,"BABBY CARROTS","","No","No","Vegetables","","","698.46153846154","kilogram","0"
2017,"BACON","","No","No","Pork","","","523.84615384615","kilogram","0"
2017,"BACON BITS","","No","No","Pork","","","122.23076923077","kilogram","0"
2017,"BAGELS","","No","No","Grains","","","313.47692307692","kilogram","0"
2017,"BAKED BEANS","","No","No","Beans","","","2076.9230769231","kilogram","0"
2017,"BAKING POWDER","","No","No","Grains","","","698.46153846154","kilogram","0"
2017,"BALSAMIC VINEGAR","","No","No","Liquids","","","592.12307692308","kilogram","0"
2017,"BAMBOO SHOOTS","","No","No","Vegetables","","","2095.3846153846","kilogram","0"
2017,"BANANA FRUITO","","No","No","Fruits","","","1676.3076923077","kilogram","0"
2017,"BARLEY","","No","No","Grains","","","876.92307692308","kilogram","0"
2017,"BASIL (1)","","No","No","Vegetables","","","10.884615384615","kilogram","0"
2017,"BASIL (2)","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"BAY LEAVES","","No","No","Spices","","","30.476923076923","kilogram","0"
2017,"BBQ CHIPS POTATOS","","No","No","Potatoes","","","107.69230769231","kilogram","0"
2017,"BBQ SAUCE (1)","","No","No","Spices","","","582.30769230769","kilogram","0"
2017,"BBQ SAUCE (2)","","No","No","Oils","","","582.30769230769","kilogram","0"
2017,"BEANS (1)","","No","No","Beans","","","876.92307692308","kilogram","0"
2017,"BEANS (2)","","No","No","Beans","","","2092.3076923077","kilogram","0"
2017,"BEANS (3)","","No","No","Beans","","","2095.3846153846","kilogram","0"
2017,"BEANSPROUTS","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"BEEF FRANKS (1)","","No","No","Beef","","","1396.9230769231","kilogram","0"
2017,"BEEF FRANKS (2)","","No","No","Beef","","","698.46153846154","kilogram","0"
2017,"BEEF PATTIES","","No","No","Beef","","","6984.6153846154","kilogram","0"
2017,"BISCUIT","","No","No","Grains","","","653.07692307692","kilogram","0"
2017,"BLACK OLIVES","","No","No","Vegetables","","","2076.9230769231","kilogram","0"
2017,"BLACK PEPPER","","No","No","Spices","","","42.45","kilogram","0"
2017,"BLEU CHEESE DRESSING","","No","No","Liquids","","","1161.5384615385","kilogram","0"
2017,"BLUEBERRIES","","No","No","Fruits","","","349.23076923077","kilogram","0"
2017,"BLUEBERRY GELATIN","","No","No","Sugars","","","615.38461538462","kilogram","0"
2017,"BOWTIE PASTA","","No","No","Grains","","","349.23076923077","kilogram","0"
2017,"BREAD FOCACCIA","","No","No","Grains","","","370.07692307692","kilogram","0"
2017,"BREADING CHICKEN FRY MIX","","No","No","Chicken","","","1746.1538461538","kilogram","0"
