"","Scope 1","","","","","","Scope 2","","Scope 3","","","","","","","","","",""
"Fiscal Year","Co-gen Electricity","Co-gen Steam","Other On-Campus Stationary","Direct Transportation","Refrigerants & Chemicals","Fertilizer & Animals","Purchased Electricity","Purchased Steam / Chilled Water","Faculty Commuting","Staff Commuting","Student Commuting","Directly Financed Air Travel","Other Directly Financed Travel","Study Abroad Air Travel","Student Travel to/from Home","Solid Waste","Wastewater","Paper Purchasing","T&D Losses"
"","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2","MT eCO2"
1990,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,
2016,,,,452.04437393847,,0.081996354198,78529.47712016,,,3102.5584289931,1490.380445364,324.76238918947,,,,,,,4290.0515870326
2017,,,,596.16063462464,,0.081996354198,70956.195499596,,,5783.7928072908,4022.3372841838,300.27822550702,,,,,,,3876.3245379446
2018,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,,,,,
2060,,,,,,,,,,,,,,,,,,,
